id,loss
4,2028.72867292
6,2028.72867292
9,9664.1190184
12,5780.55662623
15,1332.69233361
17,2356.68684041
21,2212.840859
28,1332.69233361
32,2578.21291866
43,2028.72867292
46,2681.23729508
50,1622.42371727
54,1332.69233361
62,1844.69461477
70,2314.52166863
71,4486.35018597
75,2356.68684041
77,2824.39514778
81,1622.42371727
83,2824.39514778
87,2356.68684041
97,1689.70082927
103,2028.72867292
119,2212.840859
120,1622.42371727
127,1622.42371727
138,5344.12857143
141,2013.62613317
148,1622.42371727
150,3814.55422886
151,2028.72867292
158,2028.72867292
160,7813.45825513
165,1816.06172144
168,3588.61827899
169,2892.43665988
177,3028.58147321
178,4486.35018597
184,2681.23729508
194,7813.45825513
198,1844.69461477
203,4748.80205674
211,2605.59523636
217,1332.69233361
219,1332.69233361
221,2892.43665988
227,1332.69233361
230,1622.42371727
235,1804.11555836
240,1332.69233361
243,2909.32044171
249,6729.36241706
253,3552.78948983
258,2028.72867292
261,1622.42371727
263,3552.78948983
264,2356.68684041
265,6043.92536023
268,1622.42371727
271,1622.42371727
274,7540.31837386
275,1332.69233361
279,2314.52166863
282,1622.42371727
286,3552.78948983
288,2028.72867292
294,2314.52166863
296,1332.69233361
297,2909.32044171
300,1332.69233361
303,8692.06756871
314,2028.72867292
315,4144.04343023
321,2028.72867292
323,5780.55662623
330,4445.39140449
341,2918.41630733
342,3606.99388923
352,2028.72867292
353,4390.1876694
360,4486.35018597
361,1622.42371727
362,2918.41630733
366,1332.69233361
372,4575.04045455
376,2800.16557971
377,2028.72867292
379,1816.06172144
380,4144.04343023
387,2013.62613317
392,2578.21291866
394,9664.1190184
395,1816.06172144
397,2028.72867292
407,4432.44504902
411,5853.19273713
416,2356.68684041
417,1797.91123994
419,2605.59523636
428,4390.1876694
431,2028.72867292
436,6456.47966071
438,1332.69233361
445,6187.7892219
446,6729.36241706
455,1797.91123994
456,2013.62613317
461,1332.69233361
463,2028.72867292
464,4345.66758974
466,1748.38664804
467,3388.09123675
470,1332.69233361
475,1622.42371727
482,2314.52166863
490,3606.99388923
496,1332.69233361
497,4390.1876694
508,2028.72867292
510,1332.69233361
512,2620.73391304
513,4516.97384393
523,2028.72867292
531,5780.55662623
532,2314.52166863
533,2112.70816758
537,1804.11555836
544,4556.42194373
547,3467.98109687
556,8692.06756871
565,1859.74343564
566,1332.69233361
571,2605.59523636
573,2129.2463964
574,1332.69233361
581,2651.51092593
585,2600.67722857
589,2918.41630733
597,2028.72867292
601,3928.93095821
602,1332.69233361
613,2314.52166863
616,1332.69233361
619,2352.98568421
622,2918.41630733
623,2331.17445055
629,2356.68684041
634,2028.72867292
638,1332.69233361
642,1332.69233361
643,2028.72867292
645,1622.42371727
648,5780.55662623
652,2028.72867292
664,1622.42371727
666,2892.43665988
672,1332.69233361
676,1804.11555836
678,4516.97384393
682,2028.72867292
686,3814.55422886
688,2892.43665988
689,2028.72867292
690,2028.72867292
692,6729.36241706
695,2028.72867292
697,5853.19273713
